0,1394893
1,3543
2,15160769
3,5276
4,11965
5,1826819700
6,1843404301
7,18446735489638261608
8,1812595400
0,1996931
1,3552
2,14574253
3,952
4,11760
5,917426982
6,934026878
7,18446735488562151768
8,911907251
0,1928646
1,4496
2,15099222
3,1921
4,13066
5,959502231
6,976555568
7,18446735488562151768
8,912597689
0,1552032
1,3536
2,14525165
3,810
4,12616
5,951151366
6,967250233
7,18446735488551912288
8,904293633
0,1989962
1,3671
2,14447279
3,819
4,11358
5,949985802
6,966444289
7,18446735488547972448
8,902310608
0,1928354
1,3307
2,14084603
3,1006
4,11048
5,919052810
6,935085968
7,18446735488510207440
8,870662696
0,1988794
1,3164
2,14071610
3,748
4,11591
5,915906702
6,931987627
7,18446735488510244376
8,868786978
0,1740325
1,3726
2,14977071
3,731
4,10797
5,960038366
6,976775808
7,18446735488562139456
8,913286431
0,1552886
1,3959
2,15206463
3,885
4,11011
5,959913952
6,976694595
7,18446735488562151768
8,913561399
0,1553688
1,3464
2,15942194
3,944
4,10968
5,958716169
6,976232381
7,18446735488562151768
8,912830772
